Plate,Well,tags,area_myosin_total,area_nuc_pos_myosin,area_nuclei_total,avg_nuclei_area,avg_nuclei_per_surface_myosin,big_nuclei,estimated_nuclei_in_big,fusion_area_myosin,fusion_index_myosin,length_myosin,length_myosin_per_nuclei,nb_compos_skeleton_myosin,nuclei_myosin_in_big,nuclei_myosin_positive,nuclei_myosin_without_big,nuclei_total,nuclei_without_big,percentage_nuc_pos_myosin,width_myosin,CPD_ID,Concentration,BATCH_ID,Deselected_fusion_area_myosin,Deselected_fusion_index_myosin,Status_fusion_area_myosin,Status_fusion_index_myosin,Bound_min_plateau1_fusion_area_myosin,Bound_max_plateau1_fusion_area_myosin,Bound_min_plateau2_fusion_area_myosin,Bound_max_plateau2_fusion_area_myosin,Bound_min_dip_fusion_area_myosin,Bound_max_dip_fusion_area_myosin,Bound_min_ec50_1_fusion_area_myosin,Bound_max_ec50_1_fusion_area_myosin,Bound_min_ec50_2_fusion_area_myosin,Bound_max_ec50_2_fusion_area_myosin,Bound_min_slope1_fusion_area_myosin,Bound_max_slope1_fusion_area_myosin,Bound_min_slope2_fusion_area_myosin,Bound_max_slope2_fusion_area_myosin,Bound_min_plateau1_fusion_index_myosin,Bound_max_plateau1_fusion_index_myosin,Bound_min_plateau2_fusion_index_myosin,Bound_max_plateau2_fusion_index_myosin,Bound_min_dip_fusion_index_myosin,Bound_max_dip_fusion_index_myosin,Bound_min_ec50_1_fusion_index_myosin,Bound_max_ec50_1_fusion_index_myosin,Bound_min_ec50_2_fusion_index_myosin,Bound_max_ec50_2_fusion_index_myosin,Bound_min_slope1_fusion_index_myosin,Bound_max_slope1_fusion_index_myosin,Bound_min_slope2_fusion_index_myosin,Bound_max_slope2_fusion_index_myosin,Fixed_Top_fusion_area_myosin,Fixed_Top_fusion_index_myosin,Data_Modified_fusion_area_myosin,Data_Modified_fusion_index_myosin
DM1-SC-D02,L03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,559254,100276,468635,114.163,0.189203,18,84,0.212809,0.189203,49121,251.076,119,37,777,740,4092,4008,18.9632,46.1567,Belinostat,3.00E-06,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D02,G04,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,643885,133594,499692,119.72,0.231234,29,157,0.25373,0.231234,54630,228.625,86,117,1004,887,4137,3980,23.2105,45.6624,Belinostat,3.00E-06,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D03,C03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,821010,150214,525170,122.574,0.251239,53,289,0.281111,0.251239,71322,267.141,102,223,1094,871,4252,3963,25.2751,45.8974,Belinostat,1.00E-06,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D03,L03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,971238,168722,490797,119.996,0.318793,46,260,0.343916,0.318793,84606,260.266,111,227,1303,1076,4068,3808,32.0718,45.8947,Belinostat,1.00E-06,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D03,G04,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,1132640,214000,544978,126.086,0.366138,87,463,0.39304,0.366138,91949,233.785,73,385,1579,1194,4288,3825,36.927,49.3334,Belinostat,1.00E-06,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D04,C03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,282244,44008,491836,116.661,0.0670183,18,96,0.0875928,0.0670183,27171,384.871,67,31,289,258,4196,4100,6.71708,42.2255,Belinostat,3.33E-07,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D04,L03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,294324,44346,333532,104.879,0.112424,14,74,0.13043,0.112424,26732,326.633,65,25,359,334,3179,3105,11.2613,43.9794,Belinostat,3.33E-07,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D04,G04,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,220670,37570,457841,111.064,0.0673343,23,141,0.0804406,0.0673343,20785,293.943,41,50,279,229,4113,3972,6.75816,43.408,Belinostat,3.33E-07,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D05,C03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,205355,42622,595305,126.409,0.0564262,26,118,0.0695442,0.0564262,20896,317.603,67,40,278,238,4700,4582,5.65326,39.0193,Belinostat,1.00E-07,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D05,L03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,531262,104583,599470,126.5,0.160203,9,40,0.174137,0.160203,51992,275.839,112,31,757,726,4726,4686,16.0308,40.6247,Belinostat,1.00E-07,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D05,G04,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,510102,107010,632756,133.715,0.149516,32,146,0.169744,0.149516,49047,286.095,94,101,704,603,4716,4570,15.0082,41.5695,Belinostat,1.00E-07,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D06,C03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,202347,41097,575035,127.798,0.0563362,16,71,0.0687187,0.0563362,21093,341.749,73,31,263,232,4486,4415,5.64687,37.4554,Belinostat,3.33E-08,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D06,L03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,532713,106810,570078,127.637,0.162659,15,57,0.186498,0.162659,50705,280.284,111,36,731,695,4453,4396,16.3006,41.9298,Belinostat,3.33E-08,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D06,G04,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,304409,65432,599551,130.715,0.0868546,27,121,0.103429,0.0868546,31848,327.743,95,63,421,358,4563,4442,8.7128,37.4214,Belinostat,3.33E-08,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D07,C03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,391314,64162,577001,123.956,0.0950821,9,45,0.108399,0.0950821,33616,304.679,81,24,455,431,4652,4607,9.51355,44.8536,Belinostat,1.67E-08,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
DM1-SC-D07,L03,DM1;NormalizeByDMSO#0.1%;ScreenedCpds,393724,79187,584834,126.076,0.115457,10,50,0.132484,0.115457,38790,285.343,96,31,545,514,4625,4575,11.5544,40.1366,Belinostat,1.67E-08,S1085-01,False,False,=,=,-4.12692,4.12692,-4.12692,4.12692,-4.12692,4.12692,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.15965829486331,2.15965829486331,-2.15965829486331,2.15965829486331,-3.844449,3.844449,-3.844449,3.844449,-3.844449,3.844449,-12.7772835288524,-3.1943208822131,-12.7772835288524,-3.1943208822131,-2.01183841025001,2.01183841025001,-2.01183841025001,2.01183841025001,Not Fixed,Not Fixed,False,False
